"resonator_l [in]","resonator_w [in]","Freq [GHz]","dB(St(wguide_T2,wguide_T1)) []"
2.4,0.054,1.3844,-2.93625588524592
2.4,0.054,1.3846,-2.93804751329337
2.4,0.054,1.3848,-2.93993712556678
2.4,0.054,1.385,-2.94192402830012
2.4,0.054,1.3852,-2.94400754049894
2.4,0.054,1.3854,-2.9461869937702
2.4,0.054,1.3856,-2.94846173215471
2.4,0.054,1.3858,-2.95083111196257
2.4,0.054,1.386,-2.95329450161118
2.4,0.054,1.3862,-2.95585128146614
2.4,0.054,1.3864,-2.9585008436846
2.4,0.054,1.3866,-2.96124259206143
2.4,0.054,1.3868,-2.96407594187787
2.4,0.054,1.387,-2.96700031975275
2.4,0.054,1.3872,-2.97001516349621
2.4,0.054,1.3874,-2.97311992196591
2.4,0.054,1.3876,-2.9763140549257
2.4,0.054,1.3878,-2.97959703290661
2.4,0.054,1.388,-2.98296833707029
2.4,0.054,1.3882,-2.98642745907472
2.4,0.054,1.3884,-2.98997390094226
2.4,0.054,1.3886,-2.9936071749299
2.4,0.054,1.3888,-2.99732680340184
2.4,0.054,1.389,-3.00113231870411
2.4,0.054,1.3892,-3.00502326304153
2.4,0.054,1.3894,-3.00899918835661
2.4,0.054,1.3896,-3.01305965621074
2.4,0.054,1.3898,-3.01720423766734
2.4,0.054,1.39,-3.02143251317695
2.4,0.054,1.3902,-3.02574407246461
2.4,0.054,1.3904,-3.03013851441889
2.4,0.054,1.3906,-3.03461544698314
2.4,0.054,1.3908,-3.03917448704844
2.4,0.054,1.391,-3.04381526034862
2.4,0.054,1.3912,-3.04853740135701
2.4,0.054,1.3914,-3.05334055318515
2.4,0.054,1.3916,-3.05822436748314
2.4,0.054,1.3918,-3.06318850434197
2.4,0.054,1.392,-3.06823263219747
2.4,0.054,1.3922,-3.07335642773602
2.4,0.054,1.3924,-3.07855957580201
2.4,0.054,1.3926,-3.08384176930693
2.4,0.054,1.3928,-3.08920270914017
2.4,0.054,1.393,-3.09464210408137
2.4,0.054,1.3932,-3.10015967071449
2.4,0.054,1.3934,-3.10575513334338
2.4,0.054,1.3936,-3.11142822390895
2.4,0.054,1.3938,-3.11717868190792
2.4,0.054,1.394,-3.12300625431294
2.4,0.054,1.3942,-3.12891069549447
2.4,0.054,1.3944,-3.13489176714388
2.4,0.054,1.3946,-3.14094923819815
2.4,0.054,1.3948,-3.14708288476597
2.4,0.054,1.395,-3.15329249005525
2.4,0.054,1.3952,-3.15957784430206
2.4,0.054,1.3954,-3.16593874470093
2.4,0.054,1.3956,-3.17237499533643
2.4,0.054,1.3958,-3.17888640711627
2.4,0.054,1.396,-3.18547279770556
2.4,0.054,1.3962,-3.19213399146242
2.4,0.054,1.3964,-3.19886981937492
2.4,0.054,1.3966,-3.20568011899924
2.4,0.054,1.3968,-3.2125647343991
2.4,0.054,1.397,-3.21952351608643
2.4,0.054,1.3972,-3.22655632096328
2.4,0.054,1.3974,-3.23366301226485
2.4,0.054,1.3976,-3.2408434595038
2.4,0.054,1.3978,-3.24809753841572
2.4,0.054,1.398,-3.25542513090572
2.4,0.054,1.3982,-3.26282612499612
2.4,0.054,1.3984,-3.27030041477541
2.4,0.054,1.3986,-3.27784790034821
2.4,0.054,1.3988,-3.28546848778637
2.4,0.054,1.399,-3.29316208908105
2.4,0.054,1.3992,-3.30092862209613
2.4,0.054,1.3994,-3.30876801052238
2.4,0.054,1.3996,-3.31668018383289
2.4,0.054,1.3998,-3.32466507723939
2.4,0.054,1.4,-3.33272263164974
2.4,0.054,1.4002,-3.34085279362625
2.4,0.054,1.4004,-3.3490555153452
2.4,0.054,1.4006,-3.35733075455714
2.4,0.054,1.4008,-3.36567847454834
2.4,0.054,1.401,-3.37409864410306
2.4,0.054,1.4012,-3.38259123746692
2.4,0.054,1.4014,-3.39115623431107
2.4,0.054,1.4016,-3.39979361969737
2.4,0.054,1.4018,-3.4085033840445
2.4,0.054,1.402,-3.41728552309493
2.4,0.054,1.4022,-3.42614003788283
2.4,0.054,1.4024,-3.43506693470286
2.4,0.054,1.4026,-3.44406622507985
2.4,0.054,1.4028,-3.45313792573939
2.4,0.054,1.403,-3.46228205857914
2.4,0.054,1.4032,-3.47149865064125
2.4,0.054,1.4034,-3.48078773408533
2.4,0.054,1.4036,-3.49014934616257
2.4,0.054,1.4038,-3.49958352919042
2.4,0.054,1.404,-3.50909033052824
2.4,0.054,1.4042,-3.5186698025538
2.4,0.054,1.4044,-3.52832200264046
2.4,0.054,1.4046,-3.53804699313527
2.4,0.054,1.4048,-3.54784484133782
2.4,0.054,1.405,-3.55771561947984
2.4,0.054,1.4052,-3.5676594047057
2.4,0.054,1.4054,-3.57767627905359
2.4,0.054,1.4056,-3.58776632943744
2.4,0.054,1.4058,-3.59792964762977
2.4,0.054,1.406,-3.60816633024509
2.4,0.054,1.4062,-3.61847647872425
2.4,0.054,1.4064,-3.62886019931939
2.4,0.054,1.4066,-3.63931760307973
2.4,0.054,1.4068,-3.64984880583802
2.4,0.054,1.407,-3.66045392819785
2.4,0.054,1.4072,-3.6711330955215
2.4,0.054,1.4074,-3.68188643791876
2.4,0.054,1.4076,-3.6927140902362
2.4,0.054,1.4078,-3.70361619204745
2.4,0.054,1.408,-3.71459288764391
2.4,0.054,1.4082,-3.72564432602637
2.4,0.054,1.4084,-3.73677066089728
2.4,0.054,1.4086,-3.74797205065374
2.4,0.054,1.4088,-3.75924865838105
2.4,0.054,1.409,-3.77060065184726
2.4,0.054,1.4092,-3.78202820349811
2.4,0.054,1.4094,-3.79353149045283
2.4,0.054,1.4096,-3.8051106945006
2.4,0.054,1.4098,-3.8167660020977
2.4,0.054,1.41,-3.8284976043653
2.4,0.054,1.4102,-3.84030569708806
2.4,0.054,1.4104,-3.85219048071325
2.4,0.054,1.4106,-3.86415216035068
2.4,0.054,1.4108,-3.87619094577328
2.4,0.054,1.411,-3.8883070514183
2.4,0.054,1.4112,-3.90050069638934
2.4,0.054,1.4114,-3.91277210445885
2.4,0.054,1.4116,-3.92512150407148
2.4,0.054,1.4118,-3.93754912834809
2.4,0.054,1.412,-3.95005521509031
2.4,0.054,1.4122,-3.96264000678597
2.4,0.054,1.4124,-3.97530375061502
2.4,0.054,1.4126,-3.9880466984563
2.4,0.054,1.4128,-4.00086910689486
2.4,0.054,1.413,-4.01377123723005
2.4,0.054,1.4132,-4.02675335548427
2.4,0.054,1.4134,-4.0398157324123
2.4,0.054,1.4136,-4.05295864351155
2.4,0.054,1.4138,-4.06618236903276
2.4,0.054,1.414,-4.07948719399151
2.4,0.054,1.4142,-4.09287340818041
2.4,0.054,1.4144,-4.10634130618198
2.4,0.054,1.4146,-4.11989118738217
2.4,0.054,1.4148,-4.13352335598469
2.4,0.054,1.415,-4.14723812102591
2.4,0.054,1.4152,-4.16103579639063
2.4,0.054,1.4154,-4.17491670082837
2.4,0.054,1.4156,-4.18888115797048
2.4,0.054,1.4158,-4.20292949634799
2.4,0.054,1.416,-4.21706204941013
2.4,0.054,1.4162,-4.23127915554352
2.4,0.054,1.4164,-4.24558115809221
2.4,0.054,1.4166,-4.25996840537836
2.4,0.054,1.4168,-4.27444125072369
2.4,0.054,1.417,-4.2890000524717
2.4,0.054,1.4172,-4.30364517401051
2.4,0.054,1.4174,-4.31837698379671
2.4,0.054,1.4176,-4.33319585537956
2.4,0.054,1.4178,-4.34810216742652
2.4,0.054,1.418,-4.36309630374889
2.4,0.054,1.4182,-4.37817865332882
2.4,0.054,1.4184,-4.39334961034669
2.4,0.054,1.4186,-4.40860957420954
2.4,0.054,1.4188,-4.42395894958011
2.4,0.054,1.419,-4.43939814640686
2.4,0.054,1.4192,-4.45492757995458
2.4,0.054,1.4194,-4.47054767083606
2.4,0.054,1.4196,-4.48625884504447
2.4,0.054,1.4198,-4.50206153398653
2.4,0.054,1.42,-4.51795617451656
2.4,0.054,1.4202,-4.53394320897151
2.4,0.054,1.4204,-4.55002308520667
2.4,0.054,1.4206,-4.56619625663227
2.4,0.054,1.4208,-4.58246318225117
2.4,0.054,1.421,-4.59882432669721
2.4,0.054,1.4212,-4.61528016027453
2.4,0.054,1.4214,-4.63183115899784
2.4,0.054,1.4216,-4.64847780463363
2.4,0.054,1.4218,-4.6652205847423
2.4,0.054,1.422,-4.68205999272112
2.4,0.054,1.4222,-4.6989965278484
2.4,0.054,1.4224,-4.71603069532835
2.4,0.054,1.4226,-4.73316300633721
2.4,0.054,1.4228,-4.7503939780701
2.4,0.054,1.423,-4.76772413378915
2.4,0.054,1.4232,-4.78515400287237
2.4,0.054,1.4234,-4.80268412086394
2.4,0.054,1.4236,-4.82031502952511
2.4,0.054,1.4238,-4.83804727688652
2.4,0.054,1.424,-4.85588141730151
2.4,0.054,1.4242,-4.87381801150038
2.4,0.054,1.4244,-4.8918576266461
2.4,0.054,1.4246,-4.91000083639074
2.4,0.054,1.4248,-4.92824822093339
2.4,0.054,1.425,-4.94660036707915
2.4,0.054,1.4252,-4.96505786829924
2.4,0.054,1.4254,-4.98362132479237
2.4,0.054,1.4256,-5.00229134354734
2.4,0.054,1.4258,-5.02106853840693
2.4,0.054,1.426,-5.03995353013301
2.4,0.054,1.4262,-5.05894694647285
2.4,0.054,1.4264,-5.07804942222696
2.4,0.054,1.4266,-5.09726159931806
2.4,0.054,1.4268,-5.11658412686154
2.4,0.054,1.427,-5.13601766123714
2.4,0.054,1.4272,-5.15556286616223
2.4,0.054,1.4274,-5.1752204127664
2.4,0.054,1.4276,-5.19499097966744
2.4,0.054,1.4278,-5.21487525304897
2.4,0.054,1.428,-5.23487392673941
2.4,0.054,1.4282,-5.25498770229257
2.4,0.054,1.4284,-5.2752172890698
2.4,0.054,1.4286,-5.29556340432359
2.4,0.054,1.4288,-5.316026773283
2.4,0.054,1.429,-5.33660812924056
2.4,0.054,1.4292,-5.35730821364101
2.4,0.054,1.4294,-5.3781277761714
2.4,0.054,1.4296,-5.39906757485344
2.4,0.054,1.4298,-5.42012837613717
2.4,0.054,1.43,-5.44131095499674
2.4,0.054,1.4302,-5.46261609502779
2.4,0.054,1.4304,-5.48404458854684
2.4,0.054,1.4306,-5.5055972366926
2.4,0.054,1.4308,-5.52727484952919
2.4,0.054,1.431,-5.54907824615133
2.4,0.054,1.4312,-5.57100825479156
2.4,0.054,1.4314,-5.59306571292955
2.4,0.054,1.4316,-5.61525146740355
2.4,0.054,1.4318,-5.63756637452391
2.4,0.054,1.432,-5.66001130018878
2.4,0.054,1.4322,-5.68258712000219
2.4,0.054,1.4324,-5.70529471939427
2.4,0.054,1.4326,-5.72813499374385
2.4,0.054,1.4328,-5.7511088485035
2.4,0.054,1.433,-5.77421719932681
2.4,0.054,1.4332,-5.79746097219843
2.4,0.054,1.4334,-5.82084110356644
2.4,0.054,1.4336,-5.84435854047731
2.4,0.054,1.4338,-5.86801424071355
2.4,0.054,1.434,-5.89180917293416
2.4,0.054,1.4342,-5.91574431681762
2.4,0.054,1.4344,-5.93982066320787
2.4,0.054,1.4346,-5.96403921426305
2.4,0.054,1.4348,-5.98840098360725
2.4,0.054,1.435,-6.01290699648533
2.4,0.054,1.4352,-6.03755828992057
2.4,0.054,1.4354,-6.0623559128757
2.4,0.054,1.4356,-6.08730092641708
2.4,0.054,1.4358,-6.11239440388205
2.4,0.054,1.436,-6.13763743104974
2.4,0.054,1.4362,-6.16303110631537
2.4,0.054,1.4364,-6.18857654086774
2.4,0.054,1.4366,-6.21427485887085
2.4,0.054,1.4368,-6.24012719764861
2.4,0.054,1.437,-6.26613470787363
2.4,0.054,1.4372,-6.2922985537599
2.4,0.054,1.4374,-6.31861991325914
2.4,0.054,1.4376,-6.34509997826144
2.4,0.054,1.4378,-6.37173995479982
2.4,0.054,1.438,-6.39854106325908
2.4,0.054,1.4382,-6.42550453858891
2.4,0.054,1.4384,-6.45263163052168
2.4,0.054,1.4386,-6.47992360379427
2.4,0.054,1.4388,-6.50738173837487
2.4,0.054,1.439,-6.53500732969456
2.4,0.054,1.4392,-6.56280168888353
2.4,0.054,1.4394,-6.5907661430123
2.4,0.054,1.4396,-6.61890203533832
2.4,0.054,1.4398,-6.64721072555735
2.4,0.054,1.44,-6.67569359006054
2.4,0.054,1.4402,-6.70435202219683
2.4,0.054,1.4404,-6.73318743254102
2.4,0.054,1.4406,-6.7622012491675
2.4,0.054,1.4408,-6.79139491793013
2.4,0.054,1.441,-6.82076990274783
2.4,0.054,1.4412,-6.85032768589659
2.4,0.054,1.4414,-6.88006976830783
2.4,0.054,1.4416,-6.90999766987328
2.4,0.054,1.4418,-6.94011292975643
2.4,0.054,1.442,-6.97041710671098
2.4,0.054,1.4422,-7.00091177940618
2.4,0.054,1.4424,-7.03159854675981
2.4,0.054,1.4426,-7.06247902827786
2.4,0.054,1.4428,-7.09355486440246
2.4,0.054,1.443,-7.12482771686728
2.4,0.054,1.4432,-7.15629926906119
2.4,0.054,1.4434,-7.18797122639969
2.4,0.054,1.4436,-7.21984531670537
2.4,0.054,1.4438,-7.25192329059666
2.4,0.054,1.444,-7.28420692188554
2.4,0.054,1.4442,-7.31669800798454
2.4,0.054,1.4444,-7.34939837032294
2.4,0.054,1.4446,-7.38230985477279
2.4,0.054,1.4448,-7.41543433208471
2.4,0.054,1.445,-7.44877369833406
2.4,0.054,1.4452,-7.4823298753773
2.4,0.054,1.4454,-7.51610481131944
2.4,0.054,1.4456,-7.55010048099222
2.4,0.054,1.4458,-7.58431888644408
2.4,0.054,1.446,-7.61876205744129
2.4,0.054,1.4462,-7.65343205198152
2.4,0.054,1.4464,-7.68833095681966
2.4,0.054,1.4466,-7.72346088800644
2.4,0.054,1.4468,-7.75882399143971
2.4,0.054,1.447,-7.79442244342983
2.4,0.054,1.4472,-7.83025845127846
2.4,0.054,1.4474,-7.86633425387175
2.4,0.054,1.4476,-7.90265212228809
2.4,0.054,1.4478,-7.93921436042115
2.4,0.054,1.448,-7.97602330561828
2.4,0.054,1.4482,-8.01308132933518
2.4,0.054,1.4484,-8.0503908378065
2.4,0.054,1.4486,-8.08795427273423
2.4,0.054,1.4488,-8.12577411199277
2.4,0.054,1.449,-8.16385287035262
2.4,0.054,1.4492,-8.20219310022216
2.4,0.054,1.4494,-8.24079739240903
2.4,0.054,1.4496,-8.27966837690063
2.4,0.054,1.4498,-8.31880872366576
2.4,0.054,1.45,-8.35822114347627
2.4,0.054,1.4502,-8.39790838875095
2.4,0.054,1.4504,-8.43787325442161
2.4,0.054,1.4506,-8.4781185788218
2.4,0.054,1.4508,-8.51864724459976
2.4,0.054,1.451,-8.55946217965501
2.4,0.054,1.4512,-8.60056635810131
2.4,0.054,1.4514,-8.64196280125467
2.4,0.054,1.4516,-8.68365457864828
2.4,0.054,1.4518,-8.72564480907615
2.4,0.054,1.452,-8.76793666166419
2.4,0.054,1.4522,-8.8105333569715
2.4,0.054,1.4524,-8.85343816812228
2.4,0.054,1.4526,-8.89665442196879
2.4,0.054,1.4528,-8.94018550028758
2.4,0.054,1.453,-8.98403484100886
2.4,0.054,1.4532,-9.02820593948076
2.4,0.054,1.4534,-9.07270234977003
2.4,0.054,1.4536,-9.11752768599944
2.4,0.054,1.4538,-9.16268562372361
2.4,0.054,1.454,-9.20817990134538
2.4,0.054,1.4542,-9.25401432157203
2.4,0.054,1.4544,-9.30019275291568
2.4,0.054,1.4546,-9.3467191312363
2.4,0.054,1.4548,-9.39359746133113
2.4,0.054,1.455,-9.44083181857101
2.4,0.054,1.4552,-9.48842635058593
2.4,0.054,1.4554,-9.53638527900025
2.4,0.054,1.4556,-9.58471290122171
2.4,0.054,1.4558,-9.63341359228313
2.4,0.054,1.456,-9.68249180674195
2.4,0.054,1.4562,-9.7319520806368
2.4,0.054,1.4564,-9.78179903350481
2.4,0.054,1.4566,-9.83203737046199
2.4,0.054,1.4568,-9.88267188434798
2.4,0.054,1.457,-9.93370745793795
2.4,0.054,1.4572,-9.98514906622541
2.4,0.054,1.4574,-10.0370017787759
2.4,0.054,1.4576,-10.0892707621571
2.4,0.054,1.4578,-10.1419612824468
2.4,0.054,1.458,-10.1950787078206
2.4,0.054,1.4582,-10.2486285112257
2.4,0.054,1.4584,-10.3026162731401
2.4,0.054,1.4586,-10.3570476844239
2.4,0.054,1.4588,-10.4119285492641
2.4,0.054,1.459,-10.4672647882176
2.4,0.054,1.4592,-10.5230624413555
2.4,0.054,1.4594,-10.5793276715143
2.4,0.054,1.4596,-10.6360667676554
2.4,0.054,1.4598,-10.6932861483412
2.4,0.054,1.46,-10.7509923653277
2.4,0.054,1.4602,-10.8091921072838
2.4,0.054,1.4604,-10.8678922036369
2.4,0.054,1.4606,-10.9270996285539
2.4,0.054,1.4608,-10.9868215050622
2.4,0.054,1.461,-11.0470651093157
2.4,0.054,1.4612,-11.1078378750117
2.4,0.054,1.4614,-11.1691473979678
2.4,0.054,1.4616,-11.2310014408602
2.4,0.054,1.4618,-11.293407938137
2.4,0.054,1.462,-11.3563750011078
2.4,0.054,1.4622,-11.4199109232201
2.4,0.054,1.4624,-11.4840241855321
2.4,0.054,1.4626,-11.5487234623864
2.4,0.054,1.4628,-11.6140176272958
2.4,0.054,1.463,-11.679915759052
2.4,0.054,1.4632,-11.7464271480625
2.4,0.054,1.4634,-11.8135613029307
2.4,0.054,1.4636,-11.8813279572874
2.4,0.054,1.4638,-11.9497370768836
2.4,0.054,1.464,-12.0187988669616
2.4,0.054,1.4642,-12.0885237799102
2.4,0.054,1.4644,-12.1589225232228
2.4,0.054,1.4646,-12.2300060677689
2.4,0.054,1.4648,-12.301785656393
2.4,0.054,1.465,-12.3742728128608
2.4,0.054,1.4652,-12.4474793511619
2.4,0.054,1.4654,-12.5214173851908
2.4,0.054,1.4656,-12.5960993388229
2.4,0.054,1.4658,-12.6715379564023
2.4,0.054,1.466,-12.7477463136631
2.4,0.054,1.4662,-12.8247378291041
2.4,0.054,1.4664,-12.9025262758372
2.4,0.054,1.4666,-12.9811257939359
2.4,0.054,1.4668,-13.0605509033027
2.4,0.054,1.467,-13.140816517086
2.4,0.054,1.4672,-13.2219379556696
2.4,0.054,1.4674,-13.3039309612639
2.4,0.054,1.4676,-13.3868117131289
2.4,0.054,1.4678,-13.4705968434581
2.4,0.054,1.468,-13.5553034539585
2.4,0.054,1.4682,-13.6409491331589
2.4,0.054,1.4684,-13.7275519744841
2.4,0.054,1.4686,-13.8151305951312
2.4,0.054,1.4688,-13.9037041557898
2.4,0.054,1.469,-13.9932923812469
2.4,0.054,1.4692,-14.0839155819203
2.4,0.054,1.4694,-14.175594676367
2.4,0.054,1.4696,-14.2683512148108
2.4,0.054,1.4698,-14.3622074037428
2.4,0.054,1.47,-14.4571861316395
2.4,0.054,1.4702,-14.5533109958692
2.4,0.054,1.4704,-14.6506063308606
2.4,0.054,1.4706,-14.7490972375903
2.4,0.054,1.4708,-14.848809614418
2.4,0.054,1.471,-14.9497701893183
2.4,0.054,1.4712,-15.0520065536015
2.4,0.054,1.4714,-15.1555471972159
2.4,0.054,1.4716,-15.2604215456945
2.4,0.054,1.4718,-15.3666599988203
2.4,0.054,1.472,-15.4742939710757
2.4,0.054,1.4722,-15.5833559339554
2.4,0.054,1.4724,-15.693879460222
2.4,0.054,1.4726,-15.805899270178
2.4,0.054,1.4728,-15.9194512800319
2.4,0.054,1.473,-16.0345726524368
2.4,0.054,1.4732,-16.151301849267
2.4,0.054,1.4734,-16.2696786867044
2.4,0.054,1.4736,-16.3897443926922
2.4,0.054,1.4738,-16.5115416668056
2.4,0.054,1.474,-16.6351147425843
2.4,0.054,1.4742,-16.7605094523436
2.4,0.054,1.4744,-16.8877732944716
2.4,0.054,1.4746,-17.0169555031939
2.4,0.054,1.4748,-17.148107120748
2.4,0.054,1.475,-17.2812810718831
2.4,0.054,1.4752,-17.4165322405421
2.4,0.054,1.4754,-17.5539175485301
2.4,0.054,1.4756,-17.6934960359011
2.4,0.054,1.4758,-17.8353289427012
2.4,0.054,1.476,-17.9794797916033
2.4,0.054,1.4762,-18.1260144708368
2.4,0.054,1.4764,-18.2750013166471
2.4,0.054,1.4766,-18.4265111943398
2.4,0.054,1.4768,-18.5806175767092
2.4,0.054,1.477,-18.7373966183758
2.4,0.054,1.4772,-18.8969272242086
2.4,0.054,1.4774,-19.0592911095689
2.4,0.054,1.4776,-19.2245728496208
2.4,0.054,1.4778,-19.392859914309
2.4,0.054,1.478,-19.5642426848574
2.4,0.054,1.4782,-19.7388144467268
2.4,0.054,1.4784,-19.9166713528401
2.4,0.054,1.4786,-20.0979123495426
2.4,0.054,1.4788,-20.2826390561165
2.4,0.054,1.479,-20.4709555866612
2.4,0.054,1.4792,-20.6629683007394
2.4,0.054,1.4794,-20.8587854662259
2.4,0.054,1.4796,-21.0585168142236
2.4,0.054,1.4798,-21.2622729615693
2.4,0.054,1.48,-21.4701646711687
2.4,0.054,1.4802,-21.6823019140326
2.4,0.054,1.4804,-21.8987926891636
2.4,0.054,1.4806,-22.1197415481248
2.4,0.054,1.4808,-22.3452477599543
2.4,0.054,1.481,-22.5754030386702
2.4,0.054,1.4812,-22.8102887396979
2.4,0.054,1.4814,-23.0499724127348
2.4,0.054,1.4816,-23.2945035765994
2.4,0.054,1.4818,-23.5439085563331
2.4,0.054,1.482,-23.7981841943032
2.4,0.054,1.4822,-24.0572902157904
2.4,0.054,1.4824,-24.3211399967798
2.4,0.054,1.4826,-24.5895894496834
2.4,0.054,1.4828,-24.8624237156003
2.4,0.054,1.483,-25.1393413360975
2.4,0.054,1.4832,-25.4199355838707
2.4,0.054,1.4834,-25.703672674759
2.4,0.054,1.4836,-25.9898666839768
2.4,0.054,1.4838,-26.2776511807686
2.4,0.054,1.484,-26.5659479148312
2.4,0.054,1.4842,-26.8534333771288
2.4,0.054,1.4844,-27.1385047693147
2.4,0.054,1.4846,-27.4192478869282
2.4,0.054,1.4848,-27.6934106556221
2.4,0.054,1.485,-27.9583874926753
2.4,0.054,1.4852,-28.2112211154781
2.4,0.054,1.4854,-28.448629533667
2.4,0.054,1.4856,-28.6670661962241
2.4,0.054,1.4858,-28.8628199224074
2.4,0.054,1.486,-29.0321576480733
2.4,0.054,1.4862,-29.1715068338765
2.4,0.054,1.4864,-29.2776660486063
2.4,0.054,1.4866,-29.3480233053753
2.4,0.054,1.4868,-29.3807547746271
2.4,0.054,1.487,-29.3749744320567
2.4,0.054,1.4872,-29.330809979629
2.4,0.054,1.4874,-29.2493917762829
2.4,0.054,1.4876,-29.1327567424519
2.4,0.054,1.4878,-28.9836838521637
2.4,0.054,1.488,-28.8054877408553
2.4,0.054,1.4882,-28.6017999494644
2.4,0.054,1.4884,-28.376363795543
2.4,0.054,1.4886,-28.1328611357408
2.4,0.054,1.4888,-27.8747802905098
2.4,0.054,1.489,-27.6053265060627
2.4,0.054,1.4892,-27.3273707855023
2.4,0.054,1.4894,-27.043429937812
2.4,0.054,1.4896,-26.7556698129976
2.4,0.054,1.4898,-26.4659242069802
2.4,0.054,1.49,-26.1757231618228
2.4,0.054,1.4902,-25.8863258577454
2.4,0.054,1.4904,-25.598754688316
2.4,0.054,1.4906,-25.3138282811494
2.4,0.054,1.4908,-25.0321921301743
2.4,0.054,1.491,-24.7543461579559
2.4,0.054,1.4912,-24.4806689695375
2.4,0.054,1.4914,-24.2114388411447
2.4,0.054,1.4916,-23.9468516522081
2.4,0.054,1.4918,-23.6870360538567
2.4,0.054,1.492,-23.4320661990847
2.4,0.054,1.4922,-23.1819723592535
2.4,0.054,1.4924,-22.9367497322686
2.4,0.054,1.4926,-22.69636571898
2.4,0.054,1.4928,-22.4607659118724
2.4,0.054,1.493,-22.2298790075458
2.4,0.054,1.4932,-22.0036208238543
2.4,0.054,1.4934,-21.7818975748073
2.4,0.054,1.4936,-21.5646085318954
2.4,0.054,1.4938,-21.3516481793555
2.4,0.054,1.494,-21.1429079528078
2.4,0.054,1.4942,-20.9382776354521
2.4,0.054,1.4944,-20.7376464731825
2.4,0.054,1.4946,-20.5409040592914
2.4,0.054,1.4948,-20.3479410305589
2.4,0.054,1.495,-20.1586496091459
2.4,0.054,1.4952,-19.9729240186351
2.4,0.054,1.4954,-19.7906607975417
2.4,0.054,1.4956,-19.6117590294628
2.4,0.054,1.4958,-19.4361205056421
2.4,0.054,1.496,-19.2636498329019
2.4,0.054,1.4962,-19.0942544975888
2.4,0.054,1.4964,-18.927844894276
2.4,0.054,1.4966,-18.7643343263989
2.4,0.054,1.4968,-18.6036389847016
2.4,0.054,1.497,-18.4456779083243
2.4,0.054,1.4972,-18.290372932468
2.4,0.054,1.4974,-18.1376486258659
2.4,0.054,1.4976,-17.9874322206909
2.4,0.054,1.4978,-17.8396535370323
2.4,0.054,1.498,-17.6942449036853
2.4,0.054,1.4982,-17.5511410766462
2.4,0.054,1.4984,-17.4102791564494
2.4,0.054,1.4986,-17.271598505243
2.4,0.054,1.4988,-17.1350406643199
2.4,0.054,1.499,-17.0005492726691
2.4,0.054,1.4992,-16.8680699869844
2.4,0.054,1.4994,-16.737550403462
2.4,0.054,1.4996,-16.6089399816451
2.4,0.054,1.4998,-16.482189970486
2.4,0.054,1.5,-16.3572533367622
2.4,0.054,1.502,-15.198372656834
2.4,0.054,1.504,-14.1794961959586
2.4,0.054,1.506,-13.2732922213218
2.4,0.054,1.508,-12.4596503252698
2.4,0.054,1.51,-11.7234064283163
2.4,0.054,1.512,-11.0528689196751
2.4,0.054,1.514,-10.4388427553476
2.4,0.054,1.516,-9.8739676737752
2.4,0.054,1.518,-9.35225890600858
2.4,0.054,1.52,-8.86878147949169
2.4,0.054,1.522,-8.41941466680405
2.4,0.054,1.524,-8.0006785607559
2.4,0.054,1.526,-7.60960430910138
2.4,0.054,1.528,-7.24363558409089
2.4,0.054,1.53,-6.90055276512749
2.4,0.054,1.532,-6.57841388501534
2.4,0.054,1.534,-6.27550811756192
2.4,0.054,1.536,-5.99031876463861
2.4,0.054,1.538,-5.72149352061621
2.4,0.054,1.54,-5.46782037016302
2.4,0.054,1.542,-5.22820788874537
2.4,0.054,1.544,-5.00166901461513
2.4,0.054,1.546,-4.7873075806188
2.4,0.054,1.548,-4.58430705695212
2.4,0.054,1.55,-4.39192107794034
2.4,0.054,1.552,-4.20946541817646
2.4,0.054,1.554,-4.03631115375676
2.4,0.054,1.556,-3.8718787985314
2.4,0.054,1.558,-3.71563324730313
2.4,0.054,1.56,-3.56707939071741
2.4,0.054,1.562,-3.4257582923815
2.4,0.054,1.564,-3.29124383915287
2.4,0.054,1.566,-3.16313979176527
2.4,0.054,1.568,-3.04107717594291
2.4,0.054,1.57,-2.92471196458382
2.4,0.054,1.572,-2.81372301002144
2.4,0.054,1.574,-2.70781019220916
2.4,0.054,1.576,-2.60669275424411
2.4,0.054,1.578,-2.51010780120844
2.4,0.054,1.58,-2.41780894205473
2.4,0.054,1.582,-2.32956505736208
2.4,0.054,1.584,-2.2451591783592
2.4,0.054,1.586,-2.16438746476007
2.4,0.054,1.588,-2.0870582707604
2.4,0.054,1.59,-2.0129912900727
2.4,0.054,1.592,-1.94201677218567
2.4,0.054,1.594,-1.87397480316676
2.4,0.054,1.596,-1.808714645329
2.4,0.054,1.598,-1.74609413098481
2.4,0.054,1.6,-1.68597910635195
2.4,0.054,1.602,-1.62824292248792
2.4,0.054,1.604,-1.57276597095019
2.4,0.054,1.606,-1.51943526275221
2.4,0.054,1.608,-1.46814405015875
2.4,0.054,1.61,-1.4187914920093
2.4,0.054,1.612,-1.37128236465814
2.4,0.054,1.614,-1.32552682240054
2.4,0.054,1.616,-1.2814402135801
2.4,0.054,1.618,-1.23894296168633
2.4,0.054,1.62,-1.19796052499958
2.4,0.054,1.622,-1.15842345422706
2.4,0.054,1.624,-1.12026757585201
2.4,0.054,1.626,-1.08343434070978
2.4,0.054,1.628,-1.04787139468149
